id,settlement_date,amount,utr,settlement_id,merchant,fee
3d0594a7-3397-41ff-87c7-1e416eb958ce,2023/10/25,1933.88,UTR29143311,SET-59860,acme_inc,0.0
5f61f85e-f0fd-4764-9b7f-eda863f64d38,2023/10/01,4502.08,UTR66242268,SET-70348,tech_corp,0.0
80d7c0fd-e601-4f50-94aa-142a92728f69,2023/10/15,3332.41,,SET-13495,global_solutions,0.0
3b1b666c-7196-4895-905a-8d0ee8a136a2,2023/10/01,2614.82,UTR12335275,SET-25780,alpha_beta,53.36
61b91a44-05af-4884-9990-ecaece300563,2023/10/28,4302.7,UTR22028296,SET-84260,tech_corp,0.0
c687f0c0-7d2d-4611-950f-4b96ace8ba62,2023/10/19,2738.08,UTR94947811,SET-36816,alpha_beta,0.0
4e373bcd-7a2f-4087-af32-91b643a3f37c,2023/10/12,2628.16,UTR27150070,SET-47212,tech_corp,0.0
5c37af55-1eb8-493c-8b74-4644294facd1,2023/10/13,1934.13,UTR25069348,SET-19784,alpha_beta,0.0
cb7e6ca7-5eed-48a8-b6e6-09c3334342bc,2023/10/28,3177.3,UTR27236336,SET-45148,acme_inc,0.0
8227917f-88ab-4415-8493-dcbcac67d454,2023/10/12,2343.79,UTR22134452,SET-74863,global_solutions,0.0
3030621c-06e0-4cdc-b908-3eee7aed2bd4,2023/10/17,3797.77,,SET-41745,some weird name,2.0
4e641533-f471-4ee6-bf33-0e4bf34d1c92,2023/10/26,3934.78,UTR36867984,SET-70088,alpha_beta,0.0
25ff178c-e26e-459a-8200-a9915291982a,2023/10/12,550.72,UTR73964391,SET-41687,alpha_beta,0.0
702e154b-fcab-4d28-b45d-37fe85da57be,2023/10/23,1164.76,UTR99686600,SET-45584,acme_inc,0.0
acb2c289-e078-4bce-b1ea-639388d80060,2023/10/17,2665.94,UTR13638007,SET-45308,omega_llc,0.0
d3ceb5f3-0dfd-4483-b07b-a4637e4c03e9,2023/10/06,2952.24,UTR17930619,SET-51289,omega_llc,0.0
634da1ea-8418-454a-87a4-9e38ad17f716,2023/10/15,4110.83,UTR17100416,SET-66090,alpha_beta,0.0
a4cebe83-8ef9-4381-aa18-c6e4b9405ab6,2023/10/10,4805.5,UTR49906092,SET-88914,tech_corp,0.0
d0b75842-6a80-4407-b026-5091a785ab27,2023/10/09,4747.19,,SET-96181,acme_inc,0.0
a3f83728-594a-4421-ae52-6c0f06282277,2023/10/02,4688.21,UTR91562311,SET-79312,alpha_beta,0.0
975c6867-26d0-4a9c-8765-266e39e8bf95,2023/10/22,2794.77,UTR22182788,SET-20833,acme_inc,0.0
db30a530-a3a7-4e82-acd6-9e77dd4aae6c,2023/10/12,2973.54,UTR21832434,SET-32673,acme_inc,0.0
0b05ac23-a468-4889-b2f5-c5783a8538af,2023/10/15,2790.73,UTR82815134,SET-58541,global_solutions,0.0
750f7a24-5c4f-45fd-83b5-35400236f666,2023/10/03,4198.16,UTR41432311,SET-59749,acme_inc,0.0
e79c332d-8371-470d-8fc3-4be91f851e11,2023/10/06,4563.6,UTR58533106,SET-98346,omega_llc,93.13
913959bc-60de-4713-a641-ff60ce2f30ce,2023/10/05,2066.7,UTR70865402,SET-93268,omega_llc,0.0
bdd2a5b7-5a6b-47b9-8341-ea8f29adaa93,2023/10/19,1077.67,UTR30584915,SET-64815,acme_inc,21.99
28ae81c9-5189-459d-8034-8d9176507aef,2023/10/12,3768.32,UTR85701796,SET-36024,acme_inc,0.0
2e2b4330-284a-4109-add4-af19b2d0e1f9,2023/10/06,4041.25,,SET-61027,some weird name,2.0
d65b0dd0-74cc-4386-958a-6dc2aeccf4cc,2023/10/13,3429.53,UTR56457447,SET-92591,alpha_beta,0.0
fc7e0c20-986f-48bd-851a-d1ec742ab26d,2023/10/20,958.19,UTR36532950,SET-10733,alpha_beta,19.55
6c586685-4508-4776-8439-9553ac6cdb64,2023/10/02,-3324.93,UTR65834228,SET-40094,alpha_beta,6649.86
8de9eba5-0043-4886-9942-67bf6a2e3d3e,2023/10/10,3665.57,UTR27120761,SET-33492,tech_corp,0.0
a733acc3-ebcb-472c-89da-f0b53c84e9cd,2023/10/19,1642.32,UTR54813482,SET-38140,omega_llc,0.0
c6598170-2beb-4ade-b3f5-5b8a4cdfdcaf,2023/10/09,1440.23,,SET-17358,some weird name,2.0
00d5a722-b258-489a-bd2b-458eeed29252,2023/10/31,2307.8,UTR38326860,SET-41841,tech_corp,0.0
5696f9cd-94d9-4378-8175-df54172201f2,2023/10/28,-4449.92,UTR55282807,SET-35494,global_solutions,8899.84
c66dbe78-4ada-4dd8-b42f-f9e0dab14696,2023/10/04,3992.86,UTR49688548,SET-96054,omega_llc,0.0
17ca4146-ab6a-41ac-832a-d7692e174c33,2023/10/11,852.63,UTR22671907,SET-15456,acme_inc,0.0
346610eb-3ff8-447c-b18f-d60191e219fa,2023/10/29,4322.66,UTR79610015,SET-13157,alpha_beta,0.0
88938205-84e9-4091-b080-14a3ed51f191,2023/10/31,1610.6,UTR18863968,SET-83253,omega_llc,0.0
d82163eb-a3a7-415e-9016-c787400a25af,2023/10/24,2112.75,UTR71437560,SET-14961,omega_llc,0.0
422ce953-05d2-4112-9798-5cd4383f14df,2023/10/18,717.69,UTR38464534,SET-74996,alpha_beta,0.0
2da71acc-bee2-4d7b-8a4a-efd249450cdd,2023/10/28,3099.27,,SET-23437,global_solutions,0.0
b2f41dab-f18d-4877-8b98-f3a69eaa27c0,2023/10/25,-725.93,UTR15124001,SET-25339,acme_inc,1451.86
22ec2295-abdd-4159-a958-c8781c351b70,2023/10/15,1068.06,UTR46189557,SET-60575,tech_corp,0.0
de0891d1-59f9-48d4-a840-ee52bd7e54f5,2023/10/07,1443.12,UTR89921015,SET-31665,tech_corp,0.0
33eb265d-0e2d-4a15-ab83-1065b830de08,2023/10/21,1734.58,,SET-87640,omega_llc,0.0
