id,settlement_date,amount,utr,settlement_id,merchant,fee
12ac5510-df35-4c45-9c5e-fcce3dc7906b,2023/10/16,-4486.38,UTR64225776,SET-66872,global_solutions,8972.76
67790fdb-b094-4f84-9acd-e04a49ee44c9,2023/10/30,727.9,,SET-78177,some weird name,2.0
c7b8f06a-1eef-4233-9572-8d9556e9b836,2023/10/02,2056.06,UTR50535555,SET-74288,omega_llc,0.0
6f65e9c9-4508-47f2-b39b-ef2d22a67e25,2023/10/17,4907.87,UTR36413866,SET-71211,omega_llc,0.0
9a04c360-da3a-4e4c-a8a9-5fc06b93638e,2023/10/16,3633.59,UTR24614405,SET-89098,global_solutions,0.0
1573730b-2f20-4fa2-8dff-487c286cfe1e,2023/10/06,4015.97,UTR56487015,SET-80298,tech_corp,0.0
8d171181-44bc-4a1f-a757-66609e558d82,2023/10/11,2356.4,UTR28384486,SET-58828,tech_corp,0.0
14b971f9-a587-4a75-8f49-167a830ffdcc,2023/10/04,1400.24,UTR35120483,SET-86664,alpha_beta,0.0
9de4dbb6-aa10-46b3-931a-141864394163,2023/10/27,2112.87,UTR60430922,SET-72810,acme_inc,43.12
5f6a3f3a-3534-4ada-95f6-e4af1dcfc98d,2023/10/03,1965.56,,SET-76699,acme_inc,0.0
176db630-13ec-4f14-aa5f-c9c789679594,2023/10/25,4088.93,UTR46633335,SET-86685,tech_corp,0.0
