id,date,amount,narration,utr,type
4f839c7e-4526-40fb-a0d3-d7a397eadd60,13-10-2023,3253.81,NEFT-ACME-UTR37479190,UTR37479190,CREDIT
cef875c2-dfa5-44f7-943c-c8b9d293448f,17-10-2023,4907.87,NEFT-OMEG-UTR36413866,UTR36413866,CREDIT
8b57432f-7d69-4036-bdf7-cd2a7bbdd95c,18-10-2023,2662.14,NEFT-OMEG-UTR41428858,UTR41428858,CREDIT
8ecfe236-71da-4f55-a3a3-13c20c5679f5,19-10-2023,2491.18,NEFT-GLOB-UTR43344784,UTR43344784,CREDIT
a308118e-5945-4330-86da-545086ab1313,13-10-2023,3173.92,NEFT-TECH-UTR12316565,UTR12316565,CREDIT
e4268a9f-7f13-4aae-8563-f000879f4009,29-10-2023,2128.81,NEFT-TECH-UTR49251743,UTR49251743,CREDIT
8c34d387-09c3-45a2-9113-4fc707025cb8,17-10-2023,3251.16,NEFT-OMEG-UTR62446599,,CREDIT
fb38f5a9-1a26-4b56-ace5-16710f359412,31-10-2023,3473.78,NEFT-ACME-UTR18976665,UTR18976665,CREDIT
a1c1bef3-0c18-45c8-ba0b-064834a7d37a,05-10-2023,1930.85,NEFT-ALPH-UTR86779835,UTR86779835,CREDIT
dd2f20d7-7949-4c02-bed4-77730ec9bdce,08-10-2023,618.84,NEFT-ALPH-UTR60390366,UTR60390366,CREDIT
e5d4811c-b04c-4f25-876d-d8bc335a3c99,22-10-2023,4959.94,NEFT-OMEG-UTR42258409,UTR42258409,CREDIT
df2bf914-480c-4d3c-8e18-44ff302c098a,08-10-2023,618.84,NEFT-ALPH-UTR60390366,UTR60390366,CREDIT
f17f0090-136c-478e-94e7-30c285587629,11-10-2023,2356.4,NEFT-TECH-UTR28384486,UTR28384486,CREDIT
e76d9dfc-3ce5-422a-b606-e6fa45f86cd1,11-10-2023,669.92,NEFT-GLOB-UTR97011395,UTR97011395,CREDIT
83d9e8ca-4b8d-4a01-a868-fd703a7655ad,06-10-2023,4015.97,NEFT-TECH-UTR56487015,UTR56487015,CREDIT
14603c78-2028-45ce-b88e-1203289b3267,20-10-2023,3394.06,NEFT-OMEG-UTR86539316,UTR86539316,CREDIT
b1c9d94d-3e49-47d3-bfa5-477f35e37433,23-10-2023,1283.87,NEFT-OMEG-UTR62518714,UTR62518714,CREDIT
9b5ee31b-8fe0-4138-afd3-514395d22a65,01-10-2023,3608.71,NEFT-OMEG-UTR36549796,UTR36549796,CREDIT
05ca4418-9da0-4863-91c0-1988cf55fc71,05-10-2023,4862.41,NEFT-ALPH-UTR77265507,,CREDIT
24b3a0e9-d1ef-4dfd-b919-8d0784875977,14-10-2023,4528.58,NEFT-ACME-UTR14432085,UTR14432085,CREDIT
2a461400-f174-4a2a-b65a-c87aed7ad65a,11-10-2023,-3457.25,NEFT-ACME-UTR90079338,UTR90079338,DEBIT
4599bad0-d60b-41a9-a5cd-b8417c9ad542,09-10-2023,1792.02,NEFT-ACME-UTR79753198,UTR79753198,CREDIT
326e4bae-2ec6-4732-b2d4-959d0fbb483d,18-10-2023,2042.01,NEFT-ALPH-UTR79670206,UTR79670206,CREDIT
86fbc765-b32f-4791-bd3e-879a38b30fc0,05-10-2023,2396.92,NEFT-OMEG-UTR21136487,UTR21136487,CREDIT
20a5362a-30d0-41c4-afcc-4d1863073f5d,21-10-2023,1212.42,NEFT-TECH-UTR30043849,UTR30043849,CREDIT
d3c90e43-8b73-4e1b-b6f6-c793868e5658,17-10-2023,1805.34,NEFT-TECH-UTR57004999,UTR57004999,CREDIT
996c7993-2bfa-429d-b1be-8543803793c2,03-10-2023,2117.67,NEFT-OMEG-UTR30028576,UTR30028576,CREDIT
2946ae59-8ddc-4a24-a6bc-8b9e055242d9,27-10-2023,2155.99,NEFT-ACME-UTR60430922,UTR60430922,CREDIT
fbb1c5b3-4d61-4e57-b401-1e6eeb2bc60a,19-10-2023,4964.14,NEFT-GLOB-UTR56182332,UTR56182332,CREDIT
80c94608-e194-452f-92b4-c97bd5772254,24-10-2023,2588.47,NEFT-ACME-UTR76886840,UTR76886840,CREDIT
87942903-8486-4c42-b2c3-576913f85d68,15-10-2023,4086.87,NEFT-ALPH-UTR36674456,UTR36674456,CREDIT
bd4d8d00-01e6-44b2-b779-9f3485279717,10-10-2023,3284.8,NEFT-ACME-UTR17330076,UTR17330076,CREDIT
366474e3-51a5-41ef-b4da-760561316463,14-10-2023,1134.37,NEFT-OMEG-UTR51595920,UTR51595920,CREDIT
2ef1c4bb-65d0-41c9-a857-a8f363c40491,25-10-2023,1713.44,NEFT-TECH-UTR24154010,UTR24154010,CREDIT
c8fdec99-5bf7-4fad-9595-aa55b93edb51,17-10-2023,2318.77,NEFT-OMEG-UTR69714246,UTR69714246,CREDIT
92318a56-ee6e-4aa5-a26e-5bf8e71f3706,13-10-2023,1344.0,NEFT-GLOB-UTR59998106,UTR59998106,CREDIT
0ffaba98-c8da-4439-8e32-58f77c53f7ae,27-10-2023,562.81,NEFT-GLOB-UTR58453254,UTR58453254,CREDIT
8907b924-5184-4d3f-85fd-17bd827d2d4b,26-10-2023,3112.52,NEFT-ACME-UTR46109303,UTR46109303,CREDIT
8a3e3c68-cc75-46bd-ab9d-a94096c7320a,25-10-2023,4088.93,NEFT-TECH-UTR46633335,UTR46633335,CREDIT
bec22437-d089-4fd0-ab1f-f0cad3bea552,28-10-2023,4353.98,NEFT-GLOB-UTR91800996,UTR91800996,CREDIT
955cd5a8-a69e-41e5-ac72-1e0a87ea2c32,02-10-2023,2056.06,NEFT-OMEG-UTR50535555,UTR50535555,CREDIT
a6f94831-2e3f-4a6f-951a-a9a2bd8f3d73,08-10-2023,655.04,NEFT-OMEG-UTR40592479,UTR40592479,CREDIT
09194fcf-15ef-4966-a535-445e89d7afb3,19-10-2023,4263.91,NEFT-OMEG-UTR59259603,,CREDIT
c86148ad-c281-4fbb-bbe6-9d9094bb02a0,25-10-2023,3693.1,NEFT-GLOB-UTR25111665,UTR25111665,CREDIT
6ca1a578-6e0f-455c-9bcc-421004c86fac,16-10-2023,-4486.38,NEFT-GLOB-UTR64225776,UTR64225776,DEBIT
e2dd3957-0b21-4ce4-86f7-ae5039116ff4,01-10-2023,4681.9,NEFT-ALPH-UTR21241550,UTR21241550,CREDIT
b1a1e9b5-29ce-460f-978c-0f6ea2392a7a,06-10-2023,4083.75,NEFT-ALPH-UTR56724942,UTR56724942,CREDIT
40efeb76-3139-42df-8886-39bfbf16f266,05-10-2023,4687.14,NEFT-ALPH-UTR88782151,UTR88782151,CREDIT
e72d8623-c255-4866-a183-3a859993e84c,20-10-2023,4139.19,NEFT-GLOB-UTR32347656,UTR32347656,CREDIT
665a8a77-9b7e-4ebb-9ad8-c08cfb0aa8e9,15-10-2023,-1804.69,NEFT-ACME-UTR37443184,UTR37443184,DEBIT
fe5b2566-3e54-4c6d-bb33-e4d92d19d785,20-10-2023,1005.98,NEFT-OMEG-UTR69639745,UTR69639745,CREDIT
3f2f5b52-e976-4dc4-882d-26d48c117e3f,12-10-2023,896.59,NEFT-TECH-UTR78813983,UTR78813983,CREDIT
0a35b3e2-f34d-499c-9130-0d359a1b79d4,16-10-2023,3633.59,NEFT-GLOB-UTR24614405,UTR24614405,CREDIT
715adf96-7ef4-43aa-b4c9-470a9c1c2466,03-10-2023,2117.67,NEFT-OMEG-UTR30028576,UTR30028576,CREDIT
2994b935-3f75-44f0-aea8-9b16253aecf9,14-10-2023,4494.23,NEFT-ALPH-UTR98614273,UTR98614273,CREDIT
462779b1-f6c4-453f-a38d-63800e5c89b3,29-10-2023,1513.51,NEFT-ACME-UTR35977363,UTR35977363,CREDIT
